ruby,sword,amber,amber,sapphire
dragon,sword,shield,emerald,amber
sword,dragon,amber,ruby,shield
ruby,dragon,amber,emerald,ruby
amber,emerald,crown,shield,amber
amber,amber,emerald,ruby,crown
ruby,amber,amber,amber,amber
emerald,emerald,amber,amber,amber
sword,shield,sapphire,crown,ruby
scatter,scatter,scatter,scatter,scatter
amber,amber,amber,emerald,crown
sapphire,sapphire,amber,sapphire,sword
amber,amber,amber,emerald,ruby
ruby,emerald,sapphire,sapphire,crown
amber,ruby,crown,amber,crown
amber,sword,shield,shield,sapphire
emerald,amber,amber,sword,amber
amber,crown,amber,amber,emerald
ruby,dragon,shield,amber,shield
dragon,ruby,ruby,ruby,shield
ruby,crown,ruby,ruby,crown
amber,amber,dragon,crown,sword
sword,crown,emerald,ruby,shield
emerald,amber,amber,ruby,ruby
sapphire,sapphire,shield,dragon,dragon
sapphire,amber,shield,sword,wild
ruby,amber,shield,shield,shield
crown,sapphire,amber,wild,emerald
dragon,shield,emerald,sapphire,amber
dragon,crown,sword,sword,shield
amber,sword,crown,sapphire,shield
shield,sapphire,ruby,amber,amber
sword,dragon,dragon,amber,crown
shield,emerald,shield,emerald,sapphire
amber,sapphire,ruby,dragon,sapphire
amber,ruby,sapphire,ruby,amber
sword,sapphire,amber,amber,emerald
amber,amber,emerald,sapphire,dragon
scatter,amber,scatter,crown,scatter
sapphire,crown,sapphire,amber,sword
amber,amber,crown,shield,sapphire
amber,dragon,amber,sapphire,amber
shield,dragon,ruby,amber,ruby
emerald,sapphire,ruby,sword,amber
amber,sapphire,dragon,dragon,emerald
sword,shield,amber,emerald,ruby
emerald,shield,amber,sword,crown
shield,sword,emerald,ruby,emerald
crown,amber,amber,sapphire,sword
dragon,amber,sapphire,emerald,shield
emerald,sapphire,amber,shield,amber
emerald,ruby,sapphire,amber,amber
dragon,amber,dragon,sapphire,sword
sapphire,dragon,sapphire,crown,shield
wild,amber,sword,amber,dragon
shield,sword,sapphire,amber,crown
emerald,amber,emerald,crown,amber
sapphire,dragon,sapphire,amber,amber
amber,sword,sapphire,crown,dragon
dragon,sword,crown,crown,crown
amber,crown,sword,sapphire,amber
sapphire,sapphire,shield,sword,dragon
shield,amber,sapphire,emerald,sword
emerald,emerald,sapphire,amber,sapphire
crown,shield,sapphire,amber,sword
shield,sapphire,crown,amber,sapphire
amber,crown,sapphire,amber,sapphire
sword,amber,amber,shield,dragon
sapphire,shield,shield,amber,dragon
emerald,amber,crown,dragon,sword
ruby,amber,amber,sword,amber
shield,crown,amber,shield,amber
scatter,amber,scatter,crown,scatter
amber,crown,ruby,amber,sapphire
amber,amber,emerald,sword,amber
sword,shield,amber,dragon,crown
amber,emerald,ruby,ruby,emerald
sapphire,shield,amber,sword,sword
amber,crown,ruby,sword,amber
shield,shield,ruby,sapphire,shield
sapphire,sapphire,shield,ruby,amber
crown,emerald,emerald,amber,dragon
amber,amber,amber,amber,amber
emerald,sapphire,sapphire,ruby,sword
dragon,crown,ruby,amber,emerald
sword,amber,amber,shield,amber
sword,shield,sword,sapphire,sword
