amber,amber,sword,sword,amber
amber,emerald,amber,sword,sapphire
amber,amber,sapphire,amber,shield
sword,emerald,dragon,dragon,crown
emerald,shield,sword,crown,dragon
crown,amber,amber,shield,ruby
sword,sword,amber,sapphire,dragon
ruby,emerald,sword,crown,amber
shield,dragon,amber,ruby,sword
sapphire,shield,shield,emerald,shield
ruby,amber,crown,emerald,amber
amber,ruby,ruby,amber,ruby
sapphire,amber,sword,sapphire,sapphire
emerald,shield,shield,emerald,crown
wild,dragon,amber,ruby,sapphire
wild,amber,ruby,sapphire,crown
wild,sword,sapphire,sapphire,amber
crown,amber,shield,dragon,amber
crown,crown,emerald,dragon,ruby
dragon,ruby,sapphire,ruby,emerald
dragon,amber,emerald,amber,emerald
dragon,sword,amber,shield,shield
ruby,crown,emerald,ruby,dragon
shield,amber,sapphire,amber,sapphire
sapphire,amber,sapphire,ruby,shield
emerald,shield,emerald,emerald,crown
emerald,dragon,amber,emerald,dragon
amber,sapphire,ruby,amber,sword
sapphire,amber,sapphire,crown,amber
sword,crown,amber,emerald,sword
sword,dragon,emerald,sword,sword
wild,dragon,sapphire,dragon,shield
wild,dragon,dragon,sword,crown
wild,dragon,sapphire,sword,crown
wild,dragon,amber,dragon,amber
wild,amber,sapphire,amber,sapphire
dragon,sword,shield,amber,amber
amber,emerald,sapphire,dragon,amber
crown,emerald,sword,ruby,amber
amber,sapphire,amber,emerald,emerald
dragon,amber,amber,amber,amber
emerald,dragon,sword,crown,sapphire
amber,sword,ruby,crown,dragon
sapphire,crown,crown,wild,amber
amber,amber,dragon,wild,amber
sword,sapphire,shield,wild,shield
sapphire,ruby,emerald,wild,dragon
amber,amber,amber,amber,crown
shield,shield,amber,amber,amber
emerald,amber,crown,shield,ruby
emerald,dragon,amber,ruby,dragon
amber,amber,dragon,emerald,ruby
sapphire,ruby,crown,amber,shield
amber,amber,dragon,amber,emerald
emerald,ruby,shield,emerald,sword
ruby,dragon,shield,ruby,sapphire
crown,ruby,dragon,amber,amber
shield,amber,amber,amber,sapphire
crown,dragon,dragon,amber,sword
amber,shield,crown,sapphire,sapphire
sapphire,amber,amber,ruby,sword
emerald,wild,crown,emerald,sword
ruby,wild,sapphire,dragon,dragon
amber,wild,amber,ruby,sword
sapphire,wild,amber,amber,dragon
ruby,emerald,sapphire,crown,sapphire
sapphire,shield,wild,dragon,wild
sapphire,emerald,wild,amber,wild
amber,emerald,wild,ruby,wild
ruby,sword,ruby,scatter,wild
amber,amber,amber,emerald,wild
amber,shield,amber,amber,shield
sword,amber,emerald,dragon,amber
ruby,ruby,amber,sapphire,amber
sapphire,sword,ruby,amber,emerald
crown,scatter,crown,crown,crown
sapphire,amber,amber,dragon,sword
sapphire,crown,emerald,sapphire,amber
amber,ruby,amber,sapphire,crown
dragon,sapphire,amber,sword,ruby
amber,amber,shield,crown,emerald
emerald,emerald,sapphire,shield,sword
shield,dragon,emerald,amber,wild
crown,dragon,sapphire,amber,emerald
ruby,shield,ruby,dragon,amber
emerald,sword,sword,crown,dragon
crown,dragon,dragon,amber,ruby
emerald,crown,wild,emerald,scatter
sword,amber,wild,sapphire,amber
shield,sapphire,wild,sapphire,emerald
wild,wild,wild,wild,wild
wild,wild,wild,wild,wild
wild,wild,wild,wild,wild
wild,wild,wild,wild,wild
wild,wild,wild,wild,wild
wild,wild,wild,wild,wild
wild,wild,wild,wild,wild
